date,active_users,new_signups,churned_users,marketing_spend
2024-01-01,5292,180,120,1690.97
2024-01-02,5324,220,146,1985.8
2024-01-03,5126,172,99,1769.44
2024-01-04,5199,293,121,1917.22
2024-01-05,5405,250,157,2189.25
2024-01-06,4369,232,86,1706.85
2024-01-07,4364,261,115,1934.12
2024-01-08,5405,228,92,1898.85
2024-01-09,5144,278,53,2532.7
2024-01-10,5100,265,138,1950.78
2024-01-11,5122,193,148,1805.24
2024-01-12,5693,191,64,1943.37
2024-01-13,4647,141,107,1486.29
2024-01-14,4597,252,111,1811.93
2024-01-15,5171,307,141,1927.47
2024-01-16,5395,224,127,2318.9
2024-01-17,5582,257,148,1801.48
2024-01-18,5390,193,133,1956.82
2024-01-19,5178,276,91,1831.5
2024-01-20,4632,142,59,1778.15
2024-01-21,4536,154,127,1771.39
2024-01-22,5389,314,156,2864.97
2024-01-23,5231,205,55,2190.73
2024-01-24,5270,244,127,2438.54
2024-01-25,5321,231,64,1746.17
2024-01-26,5283,187,128,1889.4
2024-01-27,4599,235,66,2231.34
2024-01-28,4513,258,133,1869.72
2024-01-29,5670,267,141,1968.72
2024-01-30,5506,209,132,1882.92
2024-01-31,5554,308,80,2708.82
2024-02-01,5427,211,80,2149.6
2024-02-02,5155,281,109,2531.16
2024-02-03,4790,267,63,2021.35
2024-02-04,4656,259,76,2371.89
2024-02-05,5542,286,157,1939.2
2024-02-06,5477,322,105,2882.17
2024-02-07,5162,293,87,2315.17
2024-02-08,5439,316,148,2627.67
2024-02-09,5388,231,126,2367.78
2024-02-10,4751,177,90,1751.29
2024-02-11,4797,287,122,2122.35
2024-02-12,5859,200,83,1789.26
2024-02-13,5614,267,68,1875.21
2024-02-14,5468,277,86,2393.27
2024-02-15,5497,224,90,2341.36
2024-02-16,5645,217,158,2219.34
2024-02-17,4903,169,144,1997.21
2024-02-18,4597,144,51,1523.09
2024-02-19,5555,329,155,2055.55
2024-02-20,5577,241,148,1922.53
2024-02-21,5366,208,74,2004.2
2024-02-22,5724,203,111,2054.91
2024-02-23,5658,209,111,2117.63
2024-02-24,4803,220,68,1690.76
2024-02-25,4877,182,86,1877.43
2024-02-26,5746,219,76,1831.15
2024-02-27,5946,354,126,2340.87
2024-02-28,5762,275,97,2471.54
2024-02-29,5500,182,106,2034.27
2024-03-01,6103,321,121,2538.77
2024-03-02,4720,153,97,1467.64
2024-03-03,4954,196,68,1780.64
2024-03-04,5673,228,58,2326.98
2024-03-05,5694,289,122,2405.59
2024-03-06,5777,186,93,2023.5
2024-03-07,5796,274,65,2214.71
2024-03-08,5943,272,104,2180.54
2024-03-09,4845,194,144,1904.41
2024-03-10,5012,223,112,2233.29
2024-03-11,3836,169,94,1987.28
2024-03-12,4043,239,109,2100.16
2024-03-13,3675,184,86,2080.49
2024-03-14,3647,142,69,1759.85
2024-03-15,4146,223,113,2188.29
2024-03-16,4934,215,79,2254.3
2024-03-17,4879,160,74,1547.39
2024-03-18,6015,206,91,1648.17
2024-03-19,5844,275,99,1923.56
2024-03-20,5802,203,148,1953.93
2024-03-21,6093,335,74,2868.29
2024-03-22,5771,201,118,1634.28
2024-03-23,4978,205,110,1928.11
2024-03-24,5138,240,147,2171.05
2024-03-25,5533,332,98,2602.85
2024-03-26,5904,185,115,1716.4
2024-03-27,5900,289,140,2076.54
2024-03-28,5768,259,77,1794.57
2024-03-29,5901,257,107,1893.89
2024-03-30,5151,191,55,1580.41
2024-03-31,5114,155,51,1691.96
2024-04-01,6050,328,112,2636.31
2024-04-02,5976,314,157,2517.48
2024-04-03,5919,197,105,2015.39
2024-04-04,6057,281,128,1912.58
2024-04-05,6000,241,117,2132.43
2024-04-06,5618,187,104,1675.3
2024-04-07,5329,233,119,2150.2
2024-04-08,5905,178,171,1965.33
2024-04-09,5734,253,121,2243.06
2024-04-10,5898,202,159,1845.5
2024-04-11,5702,231,95,1960.82
2024-04-12,6116,253,95,2183.03
2024-04-13,5180,167,60,1948.04
2024-04-14,5117,248,111,2232.39
2024-04-15,6130,278,152,1915.87
2024-04-16,5993,298,135,2595.62
2024-04-17,6115,335,165,2058.27
2024-04-18,6024,239,86,1984.65
2024-04-19,6084,275,142,2136.5
2024-04-20,5474,292,109,2422.58
2024-04-21,5425,220,89,2211.82
2024-04-22,6311,294,125,2125.67
2024-04-23,6156,288,150,2412.38
2024-04-24,5841,221,162,2046.49
2024-04-25,6017,277,132,2337.89
2024-04-26,5886,219,137,1669.43
2024-04-27,5474,189,157,1857.24
2024-04-28,5346,288,133,2672.77
2024-04-29,6341,354,91,2323.84
2024-04-30,6316,342,160,2831.81
2024-05-01,6149,298,77,2538.71
2024-05-02,6438,208,82,2239.23
2024-05-03,6328,291,184,2150.45
2024-05-04,5404,316,66,2755.89
2024-05-05,5465,313,145,2198.27
2024-05-06,6420,348,151,2522.49
2024-05-07,6283,319,158,2418.4
2024-05-08,6124,277,130,2414.54
2024-05-09,6056,261,152,1976.93
2024-05-10,6200,296,180,2186.93
2024-05-11,5346,236,133,2398.75
2024-05-12,5487,233,90,2155.59
2024-05-13,6187,297,173,2381.21
2024-05-14,6214,357,122,2130.35
2024-05-15,6462,236,85,2414.42
2024-05-16,6536,223,184,2181.16
2024-05-17,6179,215,113,2275.26
2024-05-18,5450,278,82,2114.41
2024-05-19,5478,307,125,2037.53
2024-05-20,6367,337,190,2765.18
2024-05-21,6380,269,171,2401.92
2024-05-22,6260,294,94,2649.66
2024-05-23,6420,202,156,1610.36
2024-05-24,6283,276,95,2314.13
2024-05-25,5504,288,111,1987.07
2024-05-26,5432,292,70,2295.54
2024-05-27,6531,316,103,2895.31
2024-05-28,6520,358,194,2874.5
2024-05-29,6444,260,123,1986.17
2024-05-30,6499,212,161,2033.44
2024-05-31,6574,299,123,2328.82
2024-06-01,5729,342,57,2491.05
2024-06-02,5733,325,132,2038.71
2024-06-03,6368,358,117,2766.69
2024-06-04,6215,299,95,2446.48
2024-06-05,6329,371,88,2213.81
2024-06-06,6785,317,134,2073.73
2024-06-07,6428,277,180,2213.83
2024-06-08,5912,294,99,2356.78
2024-06-09,5761,269,123,1961.36
2024-06-10,6484,330,71,2813.46
2024-06-11,6361,263,156,2348.2
2024-06-12,6399,379,164,2393.18
2024-06-13,6492,378,114,3045.85
2024-06-14,6500,352,122,2674.48
2024-06-15,5810,180,66,1711.23
2024-06-16,5634,214,160,2173.85
2024-06-17,6448,374,136,2696.65
2024-06-18,6683,363,86,2565.16
2024-06-19,6845,257,170,1783.27
2024-06-20,6581,310,168,2693.77
2024-06-21,6643,205,93,1784.86
2024-06-22,5762,316,110,2223.33
2024-06-23,5782,259,109,2426.18
2024-06-24,6568,294,115,1958.1
2024-06-25,6556,224,179,2313.44
2024-06-26,6699,208,162,1830.68
2024-06-27,6717,392,186,2568.21
2024-06-28,6595,342,136,2743.3
2024-06-29,5754,218,151,1890.05
2024-06-30,5776,178,85,1678.64
