order_id,customer_id,order_date,product_category,unit_price,quantity,discount_pct,region,status,revenue
100000,1351,02/02/2024,Home & Kitchen,110.11,3,15.0,South,completed,280.78
100001,1024,10-Oct-2024,Books,13.47,5,0.0,East,completed,67.35
100002,1159,2024-08-27,Electronics,126.91,2,5.0,East,completed,241.13
100003,1183,06/09/2024,Apparel,48.38,1,20.0,North,refunded,38.7
100004,1319,2024-06-07,Toys,119.52,2,10.0,West,refunded,215.14
100005,1051,2024-11-10,Books,60.92,5,20.0,South,refunded,243.68
100006,1173,02/01/2024,Home & Kitchen,77.62,4,10.0,West,completed,279.43
100007,1060,12-Sep-2024,Sports,84.6,5,0.0,South,completed,423.0
100008,1315,2024-03-14,HOME & KITCHEN,115.14,2,10.0,East,cancelled,207.25
100009,1252,04-Feb-2024,Electronics,97.42,5,10.0,South,completed,438.39
100010,1198,2024-07-11,Apparel,59.9,2,0.0,West,refunded,119.8
100011,1157,2024-12-23,Books,21.21,4,0.0,North,completed,84.84
100012,1061,09/26/2024,Toys,88.66,5,10.0,West,completed,398.97
100013,1368,10/05/2024,Apparel,76.15,2,10.0,North,cancelled,137.07
100014,1259,09/19/2024,Home & Kitchen,36.4,5,15.0,West,completed,154.7
100015,1127,14-Oct-2024,Electronics,80.34,4,0.0,North,refunded,321.36
100016,1165,2024-07-06,Home & Kitchen,70.92,4,5.0,North,completed,269.5
100017,1290,16-Feb-2024,Electronics,126.35,4,15.0,North,cancelled,429.59
100018,1287,03-Nov-2024,Home & Kitchen,158.61,1,20.0,East,completed,126.89
100019,1184,13-Jun-2024,TOYS,108.88,4,20.0,South,refunded,348.42
100020,1121,2024-07-02,Electronics,69.01,2,0.0,East,cancelled,138.02
100021,1263,05/15/2024,Electronics,73.93,2,0.0,West,cancelled,147.86
100022,1263,07-Mar-2024,Sports,47.54,1,10.0,North,refunded,42.79
100023,1239,05-Dec-2024,Home & Kitchen,52.03,1,5.0,East,completed,49.43
100024,1029,13-Oct-2024,Apparel,67.13,5,0.0,East,completed,335.65
100025,1189,23-Aug-2024,Electronics,63.85,2,0.0,South,completed,127.7
100026,1245,05/27/2024,Home & Kitchen,35.32,2,,West,refunded,70.64
100027,1380,2024-10-28,Apparel,126.94,3,0.0,East,refunded,380.82
100028,1210,2024-07-18,Toys,135.0,4,15.0,North,refunded,459.0
100029,1137,2024-06-11,Apparel,125.09,3,0.0,East,completed,375.27
100030,1222,13-Jun-2024,Sports,137.08,3,0.0,South,completed,411.24
100031,1070,2024-03-24,Sports,179.53,5,0.0,North,completed,897.65
100032,1036,02/03/2024,HOME & KITCHEN,47.99,3,20.0,West,completed,115.18
100033,1271,21-Jul-2024,HOME & KITCHEN,175.96,4,20.0,North,refunded,563.07
100034,1394,2024-11-20,Apparel,59.72,5,5.0,North,completed,283.67
100035,1338,01/24/2024,Electronics,94.73,4,0.0,North,cancelled,378.92
100036,1233,11/10/2024,Toys,30.87,1,0.0,West,completed,30.87
100037,1016,29-Oct-2024,Sports,56.06,2,20.0,East,refunded,89.7
100038,1395,04/11/2024,Home & Kitchen,110.29,4,5.0,West,refunded,419.1
100039,1179,08/19/2024,Apparel,96.81,3,0.0,South,completed,
100040,1115,01-Mar-2024,Home & Kitchen,59.17,2,15.0,North,cancelled,100.59
100041,1356,04-Oct-2024,Sports,73.92,2,5.0,South,cancelled,140.45
100042,1298,13-Sep-2024,Toys,53.2,1,0.0,North,cancelled,53.2
100043,1299,09-May-2024,Electronics,110.15,2,5.0,East,completed,209.28
100044,1111,25-Jan-2024,Apparel,130.78,4,0.0,South,completed,523.12
100045,1396,21-Dec-2024,Electronics,48.09,1,20.0,West,completed,38.47
100046,1181,12-Jun-2024,Apparel,70.43,5,15.0,South,completed,299.33
